Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
Drapion,Poison,Dark,500,70,90,110,60,75,95,4,False
Magcargo,Fire,Rock,410,50,50,120,80,80,30,2,False
Tepig,Fire,,308,65,63,45,45,45,45,5,False
Lampent,Ghost,Fire,370,60,40,60,95,60,55,5,False
Bulbasaur,Grass,Poison,318,45,49,49,65,65,45,1,False
Exeggcute,Grass,Psychic,325,60,40,80,60,45,40,1,False
Raichu,Electric,,485,60,90,55,90,80,110,1,False
HeracrossMega Heracross,Bug,Fighting,600,80,185,115,40,105,75,2,False
Kabuto,Rock,Water,355,30,80,90,55,45,55,1,False
DeoxysDefense Forme,Psychic,,600,50,70,160,70,160,90,3,True
Shuppet,Ghost,,295,44,75,35,63,33,45,3,False
Lugia,Psychic,Flying,680,106,90,130,90,154,110,2,True
Aerodactyl,Rock,Flying,515,80,105,65,60,75,130,1,False
VenusaurMega Venusaur,Grass,Poison,625,80,100,123,122,120,80,1,False
Grumpig,Psychic,,470,80,45,65,90,110,80,3,False
Volcanion,Fire,Water,600,80,110,120,130,90,70,6,True
Wooper,Water,Ground,210,55,45,45,25,25,15,2,False
Amoonguss,Grass,Poison,464,114,85,70,85,80,30,5,False
Pyroar,Fire,Normal,507,86,68,72,109,66,106,6,False
Jynx,Ice,Psychic,455,65,50,35,115,95,95,1,False
Fletchling,Normal,Flying,278,45,50,43,40,38,62,6,False
CharizardMega Charizard Y,Fire,Flying,634,78,104,78,159,115,100,1,False
Dedenne,Electric,Fairy,431,67,58,57,81,67,101,6,False
Nosepass,Rock,,375,30,45,135,45,90,30,3,False
Dugtrio,Ground,,405,35,80,50,50,70,120,1,False
Nidoran♂,Poison,,273,46,57,40,40,40,50,1,False
Skiploom,Grass,Flying,340,55,45,50,45,65,80,2,False
Tyrunt,Rock,Dragon,362,58,89,77,45,45,48,6,False
Infernape,Fire,Fighting,534,76,104,71,104,71,108,4,False
Pichu,Electric,,205,20,40,15,35,35,60,2,False
Rhyperior,Ground,Rock,535,115,140,130,55,55,40,4,False
Starly,Normal,Flying,245,40,55,30,30,30,60,4,False
WormadamSandy Cloak,Bug,Ground,424,60,79,105,59,85,36,4,False
Arceus,Normal,,720,120,120,120,120,120,120,4,True
Cinccino,Normal,,470,75,95,60,65,60,115,5,False
Charmeleon,Fire,,405,58,64,58,80,65,80,1,False
Mankey,Fighting,,305,40,80,35,35,45,70,1,False
Heatmor,Fire,,484,85,97,66,105,66,65,5,False
Probopass,Rock,Steel,525,60,55,145,75,150,40,4,False
Flareon,Fire,,525,65,130,60,95,110,65,1,False
Solrock,Rock,Psychic,440,70,95,85,55,65,70,3,False
Stantler,Normal,,465,73,95,62,85,65,85,2,False
Magmar,Fire,,495,65,95,57,100,85,93,1,False
Meganium,Grass,,525,80,82,100,83,100,80,2,False
Tangrowth,Grass,,535,100,100,125,110,50,50,4,False
Chimecho,Psychic,,425,65,50,70,95,80,65,3,False
MetagrossMega Metagross,Steel,Psychic,700,80,145,150,105,110,110,3,False
Shieldon,Rock,Steel,350,30,42,118,42,88,30,4,False
Ditto,Normal,,288,48,48,48,48,48,48,1,False
Honchkrow,Dark,Flying,505,100,125,52,105,52,71,4,False
Azumarill,Water,Fairy,420,100,50,80,60,80,50,2,False
Jolteon,Electric,,525,65,65,60,110,95,130,1,False
Staraptor,Normal,Flying,485,85,120,70,50,60,100,4,False
BlazikenMega Blaziken,Fire,Fighting,630,80,160,80,130,80,100,3,False
Mightyena,Dark,,420,70,90,70,60,60,70,3,False
Terrakion,Rock,Fighting,580,91,129,90,72,90,108,5,True
Raticate,Normal,,413,55,81,60,50,70,97,1,False
Heliolisk,Electric,Normal,481,62,55,52,109,94,109,6,False
Azurill,Normal,Fairy,190,50,20,40,20,40,20,3,False
Gallade,Psychic,Fighting,518,68,125,65,65,115,80,4,False
Monferno,Fire,Fighting,405,64,78,52,78,52,81,4,False
Paras,Bug,Grass,285,35,70,55,45,55,25,1,False
Regice,Ice,,580,80,50,100,100,200,50,3,True
ShayminSky Forme,Grass,Flying,600,100,103,75,120,75,127,4,True
GlalieMega Glalie,Ice,,580,80,120,80,120,80,100,3,False
LatiasMega Latias,Dragon,Psychic,700,80,100,120,140,150,110,3,True
Escavalier,Bug,Steel,495,70,135,105,60,105,20,5,False
Togetic,Fairy,Flying,405,55,40,85,80,105,40,2,False
Sigilyph,Psychic,Flying,490,72,58,80,103,80,97,5,False
Klefki,Steel,Fairy,470,57,80,91,80,87,75,6,False
Fennekin,Fire,,307,40,45,40,62,60,60,6,False
SalamenceMega Salamence,Dragon,Flying,700,95,145,130,120,90,120,3,False
Sceptile,Grass,,530,70,85,65,105,85,120,3,False
Rhyhorn,Ground,Rock,345,80,85,95,30,30,25,1,False
Gabite,Dragon,Ground,410,68,90,65,50,55,82,4,False
Prinplup,Water,,405,64,66,68,81,76,50,4,False
Drifloon,Ghost,Flying,348,90,50,34,60,44,70,4,False
Gyarados,Water,Flying,540,95,125,79,60,100,81,1,False
Kakuna,Bug,Poison,205,45,25,50,25,25,35,1,False
Swanna,Water,Flying,473,75,87,63,87,63,98,5,False
Wynaut,Psychic,,260,95,23,48,23,48,23,3,False
Virizion,Grass,Fighting,580,91,90,72,90,129,108,5,True
KeldeoOrdinary Forme,Water,Fighting,580,91,72,90,129,90,108,5,False
Cherubi,Grass,,275,45,35,45,62,53,35,4,False
Electrike,Electric,,295,40,45,40,65,40,65,3,False
AegislashShield Forme,Steel,Ghost,520,60,50,150,50,150,60,6,False
Shuckle,Bug,Rock,505,20,10,230,10,230,5,2,False
SableyeMega Sableye,Dark,Ghost,480,50,85,125,85,115,20,3,False
Seismitoad,Water,Ground,509,105,95,75,85,75,74,5,False
Seadra,Water,,440,55,65,95,95,45,85,1,False
Gastrodon,Water,Ground,475,111,83,68,92,82,39,4,False
Bibarel,Normal,Water,410,79,85,60,55,60,71,4,False
Lickilicky,Normal,,515,110,85,95,80,95,50,4,False
Tyranitar,Rock,Dark,600,100,134,110,95,100,61,2,False
Vigoroth,Normal,,440,80,80,80,55,55,90,3,False
Oddish,Grass,Poison,320,45,50,55,75,65,30,1,False
Horsea,Water,,295,30,40,70,70,25,60,1,False
Zorua,Dark,,330,40,65,40,80,40,65,5,False
Kecleon,Normal,,440,60,90,70,60,120,40,3,False
Vullaby,Dark,Flying,370,70,55,75,45,65,60,5,False
Jigglypuff,Normal,Fairy,270,115,45,20,45,25,20,1,False
Shellder,Water,,305,30,65,100,45,25,40,1,False
Mismagius,Ghost,,495,60,60,60,105,105,105,4,False
Beldum,Steel,Psychic,300,40,55,80,35,60,30,3,False
Weavile,Dark,Ice,510,70,120,65,45,85,125,4,False
Venusaur,Grass,Poison,525,80,82,83,100,100,80,1,False
Wingull,Water,Flying,270,40,30,30,55,30,85,3,False
Purugly,Normal,,452,71,82,64,64,59,112,4,False
Binacle,Rock,Water,306,42,52,67,39,56,50,6,False
Rapidash,Fire,,500,65,100,70,80,80,105,1,False
Gothorita,Psychic,,390,60,45,70,75,85,55,5,False
Feebas,Water,,200,20,15,20,10,55,80,3,False
Sudowoodo,Rock,,410,70,100,115,30,65,30,2,False
Scizor,Bug,Steel,500,70,130,100,55,80,65,2,False
Lombre,Water,Grass,340,60,50,50,60,70,50,3,False
Duskull,Ghost,,295,20,40,90,30,90,25,3,False
Hitmonlee,Fighting,,455,50,120,53,35,110,87,1,False
Oshawott,Water,,308,55,55,45,63,45,45,5,False
Foongus,Grass,Poison,294,69,55,45,55,55,15,5,False
Frillish,Water,Ghost,335,55,40,50,65,85,40,5,False
Unfezant,Normal,Flying,488,80,115,80,65,55,93,5,False
Victini,Psychic,Fire,600,100,100,100,100,100,100,5,True
Altaria,Dragon,Flying,490,75,70,90,70,105,80,3,False
Noivern,Flying,Dragon,535,85,70,80,97,80,123,6,False
DiancieMega Diancie,Rock,Fairy,700,50,160,110,160,110,110,6,True
Lumineon,Water,,460,69,69,76,69,86,91,4,False
Gible,Dragon,Ground,300,58,70,45,40,45,42,4,False
Slakoth,Normal,,280,60,60,60,35,35,30,3,False
GourgeistAverage Size,Ghost,Grass,494,65,90,122,58,75,84,6,False
Golett,Ground,Ghost,303,59,74,50,35,50,35,5,False
Mothim,Bug,Flying,424,70,94,50,94,50,66,4,False
Kangaskhan,Normal,,490,105,95,80,40,80,90,1,False
Lopunny,Normal,,480,65,76,84,54,96,105,4,False
Pupitar,Rock,Ground,410,70,84,70,65,70,51,2,False
Combee,Bug,Flying,244,30,30,42,30,42,70,4,False
Absol,Dark,,465,65,130,60,75,60,75,3,False
Gigalith,Rock,,515,85,135,130,60,80,25,5,False
Whismur,Normal,,240,64,51,23,51,23,28,3,False
AggronMega Aggron,Steel,,630,70,140,230,60,80,50,3,False
RotomFan Rotom,Electric,Flying,520,50,65,107,105,107,86,4,False
Illumise,Bug,,400,65,47,55,73,75,85,3,False
Chingling,Psychic,,285,45,30,50,65,50,45,4,False
LucarioMega Lucario,Fighting,Steel,625,70,145,88,140,70,112,4,False
Gengar,Ghost,Poison,500,60,65,60,130,75,110,1,False
Ducklett,Water,Flying,305,62,44,50,44,50,55,5,False
GourgeistLarge Size,Ghost,Grass,494,75,95,122,58,75,69,6,False
Kabutops,Rock,Water,495,60,115,105,65,70,80,1,False
Skiddo,Grass,,350,66,65,48,62,57,52,6,False
Noctowl,Normal,Flying,442,100,50,50,76,96,70,2,False
Loudred,Normal,,360,84,71,43,71,43,48,3,False
Archeops,Rock,Flying,567,75,140,65,112,65,110,5,False
Drowzee,Psychic,,328,60,48,45,43,90,42,1,False
Accelgor,Bug,,495,80,70,40,100,60,145,5,False
Silcoon,Bug,,205,50,35,55,25,25,15,3,False
Growlithe,Fire,,350,55,70,45,70,50,60,1,False
Octillery,Water,,480,75,105,75,105,75,45,2,False
TornadusTherian Forme,Flying,,580,79,100,80,110,90,121,5,True
WormadamPlant Cloak,Bug,Grass,424,60,59,85,79,105,36,4,False
Servine,Grass,,413,60,60,75,60,75,83,5,False
Joltik,Bug,Electric,319,50,47,50,57,50,65,5,False
Hippopotas,Ground,,330,68,72,78,38,42,32,4,False
Torterra,Grass,Ground,525,95,109,105,75,85,56,4,False
Goldeen,Water,,320,45,67,60,35,50,63,1,False
Dusknoir,Ghost,,525,45,100,135,65,135,45,4,False
Lunatone,Rock,Psychic,440,70,55,65,95,85,70,3,False
Rampardos,Rock,,495,97,165,60,65,50,58,4,False
Delphox,Fire,Psychic,534,75,69,72,114,100,104,6,False
DarmanitanStandard Mode,Fire,,480,105,140,55,30,55,95,5,False
Teddiursa,Normal,,330,60,80,50,50,50,40,2,False
Dunsparce,Normal,,415,100,70,70,65,65,45,2,False
Golduck,Water,,500,80,82,78,95,80,85,1,False
Clefable,Fairy,,483,95,70,73,95,90,60,1,False
Combusken,Fire,Fighting,405,60,85,60,85,60,55,3,False
Raikou,Electric,,580,90,85,75,115,100,115,2,True
Watchog,Normal,,420,60,85,69,60,69,77,5,False
Wailord,Water,,500,170,90,45,90,45,60,3,False
Blissey,Normal,,540,255,10,10,75,135,55,2,False
Chinchou,Water,Electric,330,75,38,38,56,56,67,2,False
Ledian,Bug,Flying,390,55,35,50,55,110,85,2,False
Quagsire,Water,Ground,430,95,85,85,65,65,35,2,False
AerodactylMega Aerodactyl,Rock,Flying,615,80,135,85,70,95,150,1,False
Vaporeon,Water,,525,130,65,60,110,95,65,1,False
Bisharp,Dark,Steel,490,65,125,100,60,70,70,5,False
Luxray,Electric,,523,80,120,79,95,79,70,4,False
Dewott,Water,,413,75,75,60,83,60,60,5,False
KangaskhanMega Kangaskhan,Normal,,590,105,125,100,60,100,100,1,False
Sliggoo,Dragon,,452,68,75,53,83,113,60,6,False
Sentret,Normal,,215,35,46,34,35,45,20,2,False
Ludicolo,Water,Grass,480,80,70,70,90,100,70,3,False
Luxio,Electric,,363,60,85,49,60,49,60,4,False
Staryu,Water,,340,30,45,55,70,55,85,1,False
Mr. Mime,Psychic,Fairy,460,40,45,65,100,120,90,1,False
Typhlosion,Fire,,534,78,84,78,109,85,100,2,False
Leavanny,Bug,Grass,500,75,103,80,70,80,92,5,False
Kadabra,Psychic,,400,40,35,30,120,70,105,1,False
Greninja,Water,Dark,530,72,95,67,103,71,122,6,False
Sneasel,Dark,Ice,430,55,95,55,35,75,115,2,False
Blitzle,Electric,,295,45,60,32,50,32,76,5,False
AmpharosMega Ampharos,Electric,Dragon,610,90,95,105,165,110,45,2,False
Stunfisk,Ground,Electric,471,109,66,84,81,99,32,5,False
Wurmple,Bug,,195,45,45,35,20,30,20,3,False
Girafarig,Normal,Psychic,455,70,80,65,90,65,85,2,False
GarchompMega Garchomp,Dragon,Ground,700,108,170,115,120,95,92,4,False
DeoxysSpeed Forme,Psychic,,600,50,95,90,95,90,180,3,True
Lillipup,Normal,,275,45,60,45,25,45,55,5,False
Beedrill,Bug,Poison,395,65,90,40,45,80,75,1,False
PumpkabooLarge Size,Ghost,Grass,335,54,66,70,44,55,46,6,False
Murkrow,Dark,Flying,405,60,85,42,85,42,91,2,False
Simipour,Water,,498,75,98,63,98,63,101,5,False
Jumpluff,Grass,Flying,460,75,55,70,55,95,110,2,False
Trubbish,Poison,,329,50,50,62,40,62,65,5,False
Klink,Steel,,300,40,55,70,45,60,30,5,False
Cacturne,Grass,Dark,475,70,115,60,115,60,55,3,False
Snorlax,Normal,,540,160,110,65,65,110,30,1,False
TyranitarMega Tyranitar,Rock,Dark,700,100,164,150,95,120,71,2,False
Archen,Rock,Flying,401,55,112,45,74,45,70,5,False
Wartortle,Water,,405,59,63,80,65,80,58,1,False
CharizardMega Charizard X,Fire,Dragon,634,78,130,111,130,85,100,1,False
Farfetch'd,Normal,Flying,352,52,65,55,58,62,60,1,False
Kirlia,Psychic,Fairy,278,38,35,35,65,55,50,3,False
Floatzel,Water,,495,85,105,55,85,50,115,4,False
LandorusIncarnate Forme,Ground,Flying,600,89,125,90,115,80,101,5,True
Nincada,Bug,Ground,266,31,45,90,30,30,40,3,False
Honedge,Steel,Ghost,325,45,80,100,35,37,28,6,False
Buneary,Normal,,350,55,66,44,44,56,85,4,False
Spewpa,Bug,,213,45,22,60,27,30,29,6,False
Seel,Water,,325,65,45,55,45,70,45,1,False
BlastoiseMega Blastoise,Water,,630,79,103,120,135,115,78,1,False
LopunnyMega Lopunny,Normal,Fighting,580,65,136,94,54,96,135,4,False
Spearow,Normal,Flying,262,40,60,30,31,31,70,1,False
Lickitung,Normal,,385,90,55,75,60,75,30,1,False
Qwilfish,Water,Poison,430,65,95,75,55,55,85,2,False
Pansear,Fire,,316,50,53,48,53,48,64,5,False
Wigglytuff,Normal,Fairy,435,140,70,45,85,50,45,1,False
Darumaka,Fire,,315,70,90,45,15,45,50,5,False
GyaradosMega Gyarados,Water,Dark,640,95,155,109,70,130,81,1,False
Porygon,Normal,,395,65,60,70,85,75,40,1,False
Poliwrath,Water,Fighting,510,90,95,95,70,90,70,1,False
Amaura,Rock,Ice,362,77,59,50,67,63,46,6,False
Cyndaquil,Fire,,309,39,52,43,60,50,65,2,False
Zekrom,Dragon,Electric,680,100,150,120,120,100,90,5,True
Crustle,Bug,Rock,475,70,95,125,65,75,45,5,False
Cleffa,Fairy,,218,50,25,28,45,55,15,2,False
Kyogre,Water,,670,100,100,90,150,140,90,3,True
Scatterbug,Bug,,200,38,35,40,27,25,35,6,False
Shiftry,Grass,Dark,480,90,100,60,90,60,80,3,False
Venomoth,Bug,Poison,450,70,65,60,90,75,90,1,False
Zangoose,Normal,,458,73,115,60,60,60,90,3,False
Zweilous,Dark,Dragon,420,72,85,70,65,70,58,5,False
Hoppip,Grass,Flying,250,35,35,40,35,55,50,2,False
Litwick,Ghost,Fire,275,50,30,55,65,55,20,5,False
Stunky,Poison,Dark,329,63,63,47,41,41,74,4,False
Dialga,Steel,Dragon,680,100,120,120,150,100,90,4,True
Klang,Steel,,440,60,80,95,70,85,50,5,False
Gliscor,Ground,Flying,510,75,95,125,45,75,95,4,False
Manectric,Electric,,475,70,75,60,105,60,105,3,False
Plusle,Electric,,405,60,50,40,85,75,95,3,False
Suicune,Water,,580,100,75,115,90,115,85,2,True
Herdier,Normal,,370,65,80,65,35,65,60,5,False
Shellos,Water,,325,76,48,48,57,62,34,4,False
Poliwhirl,Water,,385,65,65,65,50,50,90,1,False
Pansage,Grass,,316,50,53,48,53,48,64,5,False
Bagon,Dragon,,300,45,75,60,40,30,50,3,False
Basculin,Water,,460,70,92,65,80,55,98,5,False
PumpkabooSmall Size,Ghost,Grass,335,44,66,70,44,55,56,6,False
Zigzagoon,Normal,,240,38,30,41,30,41,60,3,False
Nidoking,Poison,Ground,505,81,102,77,85,75,85,1,False
Mantine,Water,Flying,465,65,40,70,80,140,70,2,False
Heatran,Fire,Steel,600,91,90,106,130,106,77,4,True
Aggron,Steel,Rock,530,70,110,180,60,60,50,3,False
Shroomish,Grass,,295,60,40,60,40,60,35,3,False
Misdreavus,Ghost,,435,60,60,60,85,85,85,2,False
MewtwoMega Mewtwo Y,Psychic,,780,106,150,70,194,120,140,1,True
Banette,Ghost,,455,64,115,65,83,63,65,3,False
RotomHeat Rotom,Electric,Fire,520,50,65,107,105,107,86,4,False
Electivire,Electric,,540,75,123,67,95,85,95,4,False
HoopaHoopa Confined,Psychic,Ghost,600,80,110,60,150,130,70,6,True
Flaaffy,Electric,,365,70,55,55,80,60,45,2,False
Blastoise,Water,,530,79,83,100,85,105,78,1,False
ScizorMega Scizor,Bug,Steel,600,70,150,140,65,100,75,2,False
Vulpix,Fire,,299,38,41,40,50,65,65,1,False
Diggersby,Normal,Ground,423,85,56,77,50,77,78,6,False
Treecko,Grass,,310,40,45,35,65,55,70,3,False
Mawile,Steel,Fairy,380,50,85,85,55,55,50,3,False
Medicham,Fighting,Psychic,410,60,60,75,60,75,80,3,False
Gulpin,Poison,,302,70,43,53,43,53,40,3,False
Lanturn,Water,Electric,460,125,58,58,76,76,67,2,False
Spritzee,Fairy,,341,78,52,60,63,65,23,6,False
AegislashBlade Forme,Steel,Ghost,520,60,150,50,150,50,60,6,False
Granbull,Fairy,,450,90,120,75,60,60,45,2,False
Rhydon,Ground,Rock,485,105,130,120,45,45,40,1,False
Drilbur,Ground,,328,60,85,40,30,45,68,5,False
Gothitelle,Psychic,,490,70,55,95,95,110,65,5,False
Cacnea,Grass,,335,50,85,40,85,40,35,3,False
Dwebble,Bug,Rock,325,50,65,85,35,35,55,5,False
Yanma,Bug,Flying,390,65,65,45,75,45,95,2,False
Wobbuffet,Psychic,,405,190,33,58,33,58,33,2,False
Helioptile,Electric,Normal,289,44,38,33,61,43,70,6,False
Carracosta,Water,Rock,495,74,108,133,83,65,32,5,False
Delcatty,Normal,,380,70,65,65,55,55,70,3,False
Nidoqueen,Poison,Ground,505,90,92,87,75,85,76,1,False
Trevenant,Ghost,Grass,474,85,110,76,65,82,56,6,False
MedichamMega Medicham,Fighting,Psychic,510,60,100,85,80,85,100,3,False
Entei,Fire,,580,115,115,85,90,75,100,2,True
Doublade,Steel,Ghost,448,59,110,150,45,49,35,6,False
Marill,Water,Fairy,250,70,20,50,20,50,40,2,False
Cascoon,Bug,,205,50,35,55,25,25,15,3,False
Larvesta,Bug,Fire,360,55,85,55,50,55,60,5,False
Talonflame,Fire,Flying,499,78,81,71,74,69,126,6,False
Florges,Fairy,,552,78,65,68,112,154,75,6,False
Groudon,Ground,,670,100,150,140,100,90,90,3,True
Musharna,Psychic,,487,116,55,85,107,95,29,5,False
Pidgeot,Normal,Flying,479,83,80,75,70,70,101,1,False
AbomasnowMega Abomasnow,Grass,Ice,594,90,132,105,132,105,30,4,False
Grovyle,Grass,,405,50,65,45,85,65,95,3,False
Reuniclus,Psychic,,490,110,65,75,125,85,30,5,False
Bergmite,Ice,,304,55,69,85,32,35,28,6,False
Golem,Rock,Ground,495,80,120,130,55,65,45,1,False
Cradily,Rock,Grass,495,86,81,97,81,107,43,3,False
Liepard,Dark,,446,64,88,50,88,50,106,5,False
